what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490584870125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490584875984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490584877750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490584878640
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490584880875
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490584881109
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490584895843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490584907015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1490584908734
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490584911640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490584912500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490584917359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490584918750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490584948562
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490584952562
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490584952812
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490584969328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490584977812
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490584979625
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490584979875
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490584982046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490584984734
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490584986562
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490584986812
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490584991000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490585017859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490585024046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490585024125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490585028843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490585028843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490585029187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490585032937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490585037171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490585038890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490585154296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490585160921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490585526968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490585531906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490586132640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490588308125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490588308937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490588312421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490588912640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490589135734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490589136671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490589150484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490589153312
